,total_logins,time_on_platform_hours,%_assignments_completed,avg_quiz_score,dropped_out,assignments_per_login,engagement_index
0,12,13.82,69.18955232946136,61.44750366673775,0,5.765796027455114,18.834925388243562
1,6,6.44,73.76780629813094,54.0595197404608,1,12.294634383021823,17.367967716355157
2,11,2.54,97.23404239864652,47.63862055385358,0,8.839458399876957,20.462340399774423
3,14,3.0,69.67133381598482,50.81426112155883,0,4.976523843998916,14.945222302664137
4,7,10.54,64.65741378714853,69.87380939555385,0,9.236773398164075,14.699568964524753
5,8,5.06,66.00989589261417,44.18183805668943,0,8.251236986576771,15.678315982102362
6,9,7.01,32.93300975861237,60.58838343614076,0,3.6592233065124855,9.657168293102062
7,11,2.49,83.6693055636684,84.61713994037082,1,7.606300505788036,16.693217593944734
8,8,2.26,66.98415050079146,43.48822403670684,0,8.373018812598932,14.874025083465243
9,10,8.89,71.60663523038451,71.7388663411831,1,7.160663523038451,16.582772538397418
10,7,3.17,65.98470122946014,73.20769221430453,0,9.426385889922878,13.692450204910024
11,11,3.13,72.54770199653996,60.630623200458174,0,6.5952456360490865,15.946283666089991
12,11,2.36,43.76482911049366,74.33202779797341,0,3.978620828226696,11.020804851748943
13,8,6.83,69.97838885490009,62.17943727740597,0,8.747298606862511,14.63473147581668
14,12,3.86,57.91935419109191,76.92915215058505,0,4.82661284925766,12.796559031848652
15,6,1.26,70.69858267509558,48.9787484058892,1,11.78309711251593,14.993097112515931
16,7,2.15,49.70075173542636,93.3357453916952,0,7.100107390775194,12.30845862257106
17,8,7.82,79.57129080800763,86.55875879703332,0,9.946411351000954,18.89854846800127
18,10,3.93,70.4281064307595,31.554250777487653,0,7.04281064307595,14.559684405126584
19,5,6.87,44.090414691522994,82.58637379951281,0,8.818082938304599,10.8267357819205
20,3,4.47,88.92671125729427,56.34469920530901,0,29.64223708576476,17.56611854288238
21,9,1.43,59.71317478858775,86.48764729733814,0,6.634797198731972,12.190529131431292
22,13,4.82,62.82760101273897,80.13304254150711,0,4.832892385595305,15.441266835456494
23,8,3.23,85.9643390714132,48.69249101425521,1,10.74554238392665,16.699056511902203
24,6,2.2,91.4676023027726,73.6262796565945,0,15.244600383795435,18.1112670504621
25,13,2.36,60.68244310440504,54.48735521695605,0,4.667880238800388,14.173740517400839
26,12,6.75,72.22969634302156,73.07057545887375,0,6.0191413619184635,18.663282723836925
27,13,4.02,83.6393772098695,65.69053715168998,0,6.433798246913038,19.276562868311583
28,9,3.82,95.265228446623,54.0576483385789,0,10.585025382958111,19.014204741103832
29,14,9.49,71.77354633450311,44.94528079286242,0,5.126681881035936,19.377257722417184
30,8,1.9,79.43472828950846,68.4510902471818,0,9.929341036188557,17.389121381584744
31,8,3.11,51.72113295383984,71.96108609643338,0,6.46514161922998,12.97185549230664
32,12,2.04,39.75393539552931,62.63230165683024,0,3.3128279496274424,9.465655899254886
33,15,4.75,81.0979585401573,53.38812546572719,0,5.406530569343819,19.307993090026216
34,13,3.87,53.86147361019431,57.75178864125727,0,4.143190277707254,13.288578935032385
35,13,2.53,51.51285736283042,48.55656351119754,0,3.9625274894484934,13.173809560471737
36,10,2.78,82.82839537733433,76.04154309946499,0,8.282839537733434,16.934732562889057
37,8,6.3,67.05102184438955,32.61003372566224,0,8.381377730548694,14.058503640731592
38,15,7.43,74.55140565630195,79.27587267503094,0,4.97009371042013,19.16356760938366
39,9,2.14,44.33514865708051,63.86093544243825,1,4.926127628564501,10.245858109513419
