student_id,total_logins,time_on_platform_hours,%_assignments_completed,avg_quiz_score,forum_posts,days_since_last_login,dropped_out
1,12,13.82,69.18955232946136,61.447503666737745,6,28,0
2,6,6.44,73.76780629813094,54.0595197404608,6,6,1
3,11,2.54,97.23404239864652,47.63862055385358,4,3,0
4,14,3.0,69.67133381598482,50.81426112155883,1,17,0
5,7,10.54,64.65741378714853,69.87380939555385,2,6,0
6,8,5.06,66.00989589261417,44.18183805668943,5,23,0
7,9,7.01,32.93300975861237,60.58838343614076,3,0,0
8,11,2.49,83.6693055636684,84.61713994037082,1,4,1
9,8,2.26,66.98415050079146,43.48822403670684,4,9,0
10,10,8.89,71.60663523038451,71.7388663411831,3,13,1
11,7,3.17,65.98470122946014,73.20769221430453,2,23,0
12,11,3.13,72.54770199653996,60.630623200458174,3,0,0
13,11,2.36,43.76482911049366,74.33202779797341,3,11,0
14,8,6.83,69.97838885490009,62.17943727740597,1,18,0
15,12,3.86,57.91935419109191,76.92915215058505,1,1,0
16,6,1.26,70.69858267509558,48.9787484058892,4,13,1
17,7,2.15,49.70075173542636,93.33574539169521,5,2,0
18,8,7.82,79.57129080800763,86.55875879703332,6,18,0
19,10,3.93,70.4281064307595,31.554250777487653,1,2,0
20,5,6.87,44.090414691522994,82.58637379951281,3,12,0
21,3,4.47,88.92671125729427,56.34469920530901,3,16,0
22,9,1.43,59.71317478858775,86.48764729733814,1,2,0
23,13,4.82,62.82760101273897,80.13304254150711,4,13,0
24,8,3.23,85.9643390714132,48.69249101425521,1,1,1
25,6,2.2,91.4676023027726,73.6262796565945,3,12,0
26,13,2.36,60.68244310440504,54.48735521695605,3,8,0
27,12,6.75,72.22969634302156,73.07057545887375,7,9,0
28,13,4.02,83.6393772098695,65.69053715168998,5,7,0
29,9,3.82,95.26522844662301,54.0576483385789,2,28,0
30,14,9.49,71.77354633450311,44.94528079286242,7,28,0
31,8,1.9,79.43472828950846,68.4510902471818,5,21,0
32,8,3.11,51.72113295383984,71.96108609643338,5,6,0
33,12,2.04,39.75393539552931,62.632301656830236,1,29,0
34,15,4.75,81.0979585401573,53.388125465727185,5,0,0
35,13,3.87,53.86147361019431,57.75178864125727,3,22,0
36,13,2.53,51.51285736283042,48.55656351119754,4,7,0
37,10,2.78,82.82839537733433,76.04154309946499,2,7,0
38,8,6.3,67.05102184438955,32.61003372566224,1,5,0
39,15,7.43,74.55140565630195,79.27587267503094,6,22,0
40,9,2.14,44.33514865708051,63.86093544243825,2,26,1
41,7,15.8,51.778578274408396,72.8246211759541,3,17,0
42,8,1.02,100.0,74.2963418609954,3,3,0
43,13,1.38,56.839882979557274,66.75937801946377,1,23,0
44,15,2.69,65.93414989838222,59.14956220013227,1,10,0
45,8,1.82,74.7472601094261,81.59199493199937,3,19,0
46,7,1.63,48.60078284289835,39.270210967264575,2,23,0
47,9,7.31,97.0559969139144,84.5268914996813,3,25,0
48,6,4.88,70.15005948963376,48.15011918875075,2,15,0
49,16,3.58,65.2717073944273,60.115881707390976,5,29,0
50,10,2.21,91.36226577005777,86.46968919352054,3,11,0
51,18,1.43,88.23599892821491,98.44196964368501,2,3,0
52,10,1.37,100.0,67.72956637818285,2,8,0
53,8,7.28,61.259354153410726,44.680918487626215,6,0,1
54,11,7.08,100.0,77.80886633043022,5,5,0
55,3,2.74,82.92280521204185,64.41456085625741,4,0,0
56,15,0.94,100.0,49.06945000586771,5,27,1
57,6,5.18,89.71607820688605,68.28755320535649,4,21,0
58,7,2.75,57.16038052909037,45.35390747016581,5,19,0
59,9,6.49,53.32581688082732,67.92570620828327,3,23,0
60,11,1.35,33.917545605767856,51.1963473376378,2,28,0
61,8,3.56,29.788437432762088,35.480188418639145,1,7,1
62,12,1.24,57.754684693772255,40.07414078549263,3,12,0
63,10,1.86,95.34009997244127,55.88603728543468,4,24,1
64,11,1.82,60.037456795698155,72.52801905253838,3,22,0
65,12,2.7,56.471442278415346,83.81104003435331,4,28,0
66,16,7.7,83.99272553903462,86.41349538732398,3,26,0
67,8,3.7,52.76933663634148,42.32004030337474,2,28,0
68,7,5.77,100.0,61.632025433479136,3,23,0
69,13,3.53,64.76665023508718,55.846470393325525,3,28,0
70,10,2.42,88.61377267824075,63.40518614280772,2,26,0
71,15,0.45,65.99865188792357,86.15692739536976,4,18,0
72,8,1.42,70.49154284546287,67.41727985280966,3,25,1
73,11,3.33,92.54171651104467,78.01650440799324,1,19,0
74,11,3.78,74.58700854725474,98.17204929462712,0,3,0
75,5,6.5,99.87588695736251,41.52712713542647,3,21,1
76,10,0.71,54.334324423993735,57.875881156807594,4,6,0
77,11,12.33,44.01941033895747,73.56839235167367,4,24,0
78,12,0.45,35.01347434340672,68.99827165986738,1,29,0
79,8,3.18,95.09931457256627,80.72988542320026,4,25,0
80,11,2.08,88.03176898444441,59.24295170207794,1,21,0
81,11,1.44,64.68724141375449,68.08991455499941,7,17,0
82,5,9.1,75.97510623976376,53.656674688834485,0,9,0
83,8,2.15,91.38886551112046,80.95795196116828,3,25,0
84,13,0.65,66.1953578552109,65.63139101187174,6,22,0
85,11,1.08,34.79894439694374,86.05655390473893,4,14,0
86,7,7.05,35.05389262735242,86.16606593518284,7,12,0
87,8,1.13,48.10666921641284,45.77572636841485,4,25,0
88,11,0.87,72.04409018840909,88.47436452543013,3,29,0
89,15,3.83,51.16750394306008,78.96629780490265,0,24,0
90,8,2.69,90.66974585536718,62.651644898756714,3,23,1
91,14,4.63,44.52801997928435,77.61841260097913,1,19,0
92,6,2.43,56.13073943307136,57.38169388459608,5,17,0
93,16,5.53,33.57299581715718,85.41568396489885,2,23,0
94,11,0.98,61.0961657570598,66.48777040789338,3,21,1
